created_at,PM1.0_CF1_ug/m3,PM2.5_CF1_ug/m3,PM10.0_CF1_ug/m3,UptimeMinutes,RSSI_dbm,Temperature_F,Humidity_%,PM2.5_ATM_ug/m3,
2019-04-17 00:00:00 UTC,11.65,17.73,19.22,227.45,-65.05,80.83,27.80,16.70,
2019-04-17 00:00:00 UTC,11.65,17.73,19.22,227.45,-65.05,80.83,27.80,16.70
2019-04-18 00:00:00 UTC,14.98,24.05,26.46,99.54,-62.78,79.08,26.67,20.97,
2019-04-18 00:00:00 UTC,14.98,24.05,26.46,99.54,-62.78,79.08,26.67,20.97
2019-04-19 00:00:00 UTC,19.87,29.74,31.57,73.23,-64.22,70.23,23.09,26.99,
2019-04-19 00:00:00 UTC,19.87,29.74,31.57,73.23,-64.22,70.23,23.09,26.99
2019-04-20 00:00:00 UTC,18.90,27.88,29.79,74.88,-64.81,79.29,25.28,25.67,
2019-04-20 00:00:00 UTC,18.90,27.88,29.79,74.88,-64.81,79.29,25.28,25.67
2019-04-21 00:00:00 UTC,14.69,20.28,21.06,73.96,-63.25,81.45,24.05,19.80,
2019-04-21 00:00:00 UTC,14.69,20.28,21.06,73.96,-63.25,81.45,24.05,19.80
2019-04-22 00:00:00 UTC,15.64,21.75,22.62,62.83,-63.67,76.79,22.21,21.57,
2019-04-22 00:00:00 UTC,15.64,21.75,22.62,62.83,-63.67,76.79,22.21,21.57
2019-04-23 00:00:00 UTC,15.60,22.13,22.98,72.52,-62.00,82.76,27.58,20.11,
2019-04-23 00:00:00 UTC,15.60,22.13,22.98,72.52,-62.00,82.76,27.58,20.11
2019-04-24 00:00:00 UTC,10.67,15.01,15.62,65.69,-62.77,82.04,28.95,14.60,
2019-04-24 00:00:00 UTC,10.67,15.01,15.62,65.69,-62.77,82.04,28.95,14.60
2019-04-25 00:00:00 UTC,0.76,1.40,1.63,96.74,-59.55,79.98,28.89,1.38,
2019-04-25 00:00:00 UTC,0.76,1.40,1.63,96.74,-59.55,79.98,28.89,1.38
2019-04-26 00:00:00 UTC,1.31,2.70,3.38,125.66,-59.43,74.96,26.95,2.36,
2019-04-26 00:00:00 UTC,1.31,2.70,3.38,125.66,-59.43,74.96,26.95,2.36
2019-04-27 00:00:00 UTC,0.36,0.82,1.09,105.81,-61.44,78.37,26.98,0.82,
2019-04-27 00:00:00 UTC,0.36,0.82,1.09,105.81,-61.44,78.37,26.98,0.82
2019-04-28 00:00:00 UTC,0.61,1.20,1.47,92.40,-64.08,79.77,27.17,1.20,
2019-04-28 00:00:00 UTC,0.61,1.20,1.47,92.40,-64.08,79.77,27.17,1.20
2019-04-29 00:00:00 UTC,6.09,11.01,13.42,122.68,-64.40,78.31,26.49,8.33,
2019-04-29 00:00:00 UTC,6.09,11.01,13.42,122.68,-64.40,78.31,26.49,8.33
2019-04-30 00:00:00 UTC,4.30,6.20,6.64,60.15,-61.70,81.78,25.78,6.16,
2019-04-30 00:00:00 UTC,4.30,6.20,6.64,60.15,-61.70,81.78,25.78,6.16
2019-05-01 00:00:00 UTC,6.68,9.73,10.37,52.55,-59.62,79.11,27.25,9.48,
2019-05-01 00:00:00 UTC,6.68,9.73,10.37,52.55,-59.62,79.11,27.25,9.48
2019-05-02 00:00:00 UTC,1.57,2.71,3.14,75.63,-59.60,80.94,28.98,2.55,
2019-05-02 00:00:00 UTC,1.57,2.71,3.14,75.63,-59.60,80.94,28.98,2.55
2019-05-03 00:00:00 UTC,5.02,9.16,11.23,76.15,-59.78,70.03,25.62,7.10,
2019-05-03 00:00:00 UTC,5.02,9.16,11.23,76.15,-59.78,70.03,25.62,7.10
2019-05-04 00:00:00 UTC,0.74,1.20,1.35,114.16,-61.17,78.11,25.89,1.20,
2019-05-04 00:00:00 UTC,0.74,1.20,1.35,114.16,-61.17,78.11,25.89,1.20
2019-05-05 00:00:00 UTC,1.36,2.04,2.22,89.91,-59.77,71.41,21.66,2.04,
2019-05-05 00:00:00 UTC,1.36,2.04,2.22,89.91,-59.77,71.41,21.66,2.04
2019-05-06 00:00:00 UTC,2.90,4.19,4.53,86.67,-60.62,79.16,23.73,3.84,
2019-05-06 00:00:00 UTC,2.90,4.19,4.53,86.67,-60.62,79.16,23.73,3.84
2019-05-07 00:00:00 UTC,3.43,4.68,4.97,109.32,-59.35,79.94,23.54,4.68,
2019-05-07 00:00:00 UTC,3.43,4.68,4.97,109.32,-59.35,79.94,23.54,4.68
2019-05-08 00:00:00 UTC,1.15,1.69,1.83,88.02,-60.19,77.18,25.87,1.69,
2019-05-08 00:00:00 UTC,1.15,1.69,1.83,88.02,-60.19,77.18,25.87,1.69
2019-05-09 00:00:00 UTC,0.80,1.24,1.36,130.11,-60.18,79.73,29.27,1.24,
2019-05-09 00:00:00 UTC,0.80,1.24,1.36,130.11,-60.18,79.73,29.27,1.24
2019-05-10 00:00:00 UTC,1.83,2.56,2.77,67.23,-59.54,80.13,28.90,2.56,
2019-05-10 00:00:00 UTC,1.83,2.56,2.77,67.23,-59.54,80.13,28.90,2.56
2019-05-11 00:00:00 UTC,3.71,5.01,5.26,91.07,-59.71,79.61,26.83,5.01,
2019-05-11 00:00:00 UTC,3.71,5.01,5.26,91.07,-59.71,79.61,26.83,5.01
2019-05-12 00:00:00 UTC,2.43,3.80,4.27,147.35,-56.81,80.23,24.23,3.70,
2019-05-12 00:00:00 UTC,2.43,3.80,4.27,147.35,-56.81,80.23,24.23,3.70
2019-05-13 00:00:00 UTC,4.98,8.36,9.74,70.34,-59.16,81.34,22.86,7.02,
2019-05-13 00:00:00 UTC,4.98,8.36,9.74,70.34,-59.16,81.34,22.86,7.02
2019-05-14 00:00:00 UTC,2.32,3.45,3.77,65.75,-58.94,78.18,20.81,3.42,
2019-05-14 00:00:00 UTC,2.32,3.45,3.77,65.75,-58.94,78.18,20.81,3.42
2019-05-15 00:00:00 UTC,4.59,6.46,6.94,87.64,-60.03,81.93,24.14,6.44,
2019-05-15 00:00:00 UTC,4.59,6.46,6.94,87.64,-60.03,81.93,24.14,6.44
2019-05-16 00:00:00 UTC,4.23,5.92,6.30,88.89,-61.14,81.97,22.67,5.91,
2019-05-16 00:00:00 UTC,4.23,5.92,6.30,88.89,-61.14,81.97,22.67,5.91
2019-05-17 00:00:00 UTC,5.51,8.23,9.03,50.88,-61.40,79.40,25.25,6.83,
2019-05-17 00:00:00 UTC,5.51,8.23,9.03,50.88,-61.40,79.40,25.25,6.83
2019-05-18 00:00:00 UTC,6.44,10.16,11.51,89.64,-60.62,81.04,28.04,8.97,
2019-05-18 00:00:00 UTC,6.44,10.16,11.51,89.64,-60.62,81.04,28.04,8.97
2019-05-19 00:00:00 UTC,6.72,9.20,9.55,168.08,-57.91,80.35,29.38,9.20,
2019-05-19 00:00:00 UTC,6.72,9.20,9.55,168.08,-57.91,80.35,29.38,9.20
2019-05-20 00:00:00 UTC,4.33,6.68,7.59,86.98,-57.75,81.32,28.42,6.13,
2019-05-20 00:00:00 UTC,4.33,6.68,7.59,86.98,-57.75,81.32,28.42,6.13
2019-05-21 00:00:00 UTC,1.82,2.84,3.20,114.87,-58.11,82.05,27.40,2.75,
2019-05-21 00:00:00 UTC,1.82,2.84,3.20,114.87,-58.11,82.05,27.40,2.75
2019-05-22 00:00:00 UTC,3.93,6.42,7.37,67.10,-56.66,73.57,21.50,5.43,
2019-05-22 00:00:00 UTC,3.93,6.42,7.37,67.10,-56.66,73.57,21.50,5.43
2019-05-23 00:00:00 UTC,4.16,5.83,6.28,138.81,-57.33,82.03,25.03,5.78,
2019-05-23 00:00:00 UTC,4.16,5.83,6.28,138.81,-57.33,82.03,25.03,5.78
2019-05-24 00:00:00 UTC,5.72,8.27,9.11,80.02,-58.29,78.60,28.63,7.61,
2019-05-24 00:00:00 UTC,5.72,8.27,9.11,80.02,-58.29,78.60,28.63,7.61
2019-05-25 00:00:00 UTC,6.87,11.11,12.85,100.71,-57.49,78.49,29.23,9.19,
2019-05-25 00:00:00 UTC,6.87,11.11,12.85,100.71,-57.49,78.49,29.23,9.19
2019-05-26 00:00:00 UTC,4.89,7.51,7.99,58.68,-57.86,78.89,33.24,7.48,
2019-05-26 00:00:00 UTC,4.89,7.51,7.99,58.68,-57.86,78.89,33.24,7.48
2019-05-27 00:00:00 UTC,1.62,2.36,2.59,61.17,-57.38,78.35,28.42,2.19,
2019-05-27 00:00:00 UTC,1.62,2.36,2.59,61.17,-57.38,78.35,28.42,2.19
2019-05-28 00:00:00 UTC,0.85,1.27,1.45,80.55,-57.11,77.51,29.34,1.24,
2019-05-28 00:00:00 UTC,0.85,1.27,1.45,80.55,-57.11,77.51,29.34,1.24
2019-05-29 00:00:00 UTC,0.92,1.37,1.49,95.95,-57.00,69.97,28.14,1.37,
2019-05-29 00:00:00 UTC,0.92,1.37,1.49,95.95,-57.00,69.97,28.14,1.37
2019-05-30 00:00:00 UTC,3.98,6.02,6.50,73.97,-59.42,80.39,35.67,6.02,
2019-05-30 00:00:00 UTC,3.98,6.02,6.50,73.97,-59.42,80.39,35.67,6.02
2019-05-31 00:00:00 UTC,2.34,3.96,4.62,132.23,-59.43,75.27,32.49,3.60,
2019-05-31 00:00:00 UTC,2.34,3.96,4.62,132.23,-59.43,75.27,32.49,3.60
2019-06-01 00:00:00 UTC,4.21,6.56,7.33,1242.46,-60.60,84.61,31.85,6.14,
2019-06-01 00:00:00 UTC,4.21,6.56,7.33,1242.46,-60.60,84.61,31.85,6.14
2019-06-02 00:00:00 UTC,3.76,5.26,5.65,2685.00,-60.42,84.59,32.30,5.26,
2019-06-02 00:00:00 UTC,3.76,5.26,5.65,2685.00,-60.42,84.59,32.30,5.26
2019-06-03 00:00:00 UTC,2.55,4.54,5.45,4125.00,-59.45,81.38,29.72,4.20,
2019-06-03 00:00:00 UTC,2.55,4.54,5.45,4125.00,-59.45,81.38,29.72,4.20
2019-06-04 00:00:00 UTC,2.13,3.13,3.52,5565.00,-59.74,81.51,31.95,3.08,
2019-06-04 00:00:00 UTC,2.13,3.13,3.52,5565.00,-59.74,81.51,31.95,3.08
2019-06-05 00:00:00 UTC,2.55,3.77,4.09,7005.11,-59.70,81.21,29.44,3.10,
2019-06-05 00:00:00 UTC,2.55,3.77,4.09,7005.11,-59.70,81.21,29.44,3.10
2019-06-06 00:00:00 UTC,3.73,6.89,8.61,8444.33,-58.22,81.07,27.18,5.38,
2019-06-06 00:00:00 UTC,3.73,6.89,8.61,8444.33,-58.22,81.07,27.18,5.38
2019-06-07 00:00:00 UTC,2.08,2.71,2.85,9885.00,-57.76,79.32,29.61,2.71,
2019-06-07 00:00:00 UTC,2.08,2.71,2.85,9885.00,-57.76,79.32,29.61,2.71
2019-06-08 00:00:00 UTC,1.18,1.59,1.72,11325.00,-57.68,78.29,30.96,1.59,
2019-06-08 00:00:00 UTC,1.18,1.59,1.72,11325.00,-57.68,78.29,30.96,1.59
2019-06-09 00:00:00 UTC,1.11,1.60,1.77,12765.00,-57.94,78.44,30.00,1.60,
2019-06-09 00:00:00 UTC,1.11,1.60,1.77,12765.00,-57.94,78.44,30.00,1.60
2019-06-10 00:00:00 UTC,2.54,3.33,3.50,14205.00,-57.65,77.50,30.54,3.33,
2019-06-10 00:00:00 UTC,2.54,3.33,3.50,14205.00,-57.65,77.50,30.54,3.33
2019-06-11 00:00:00 UTC,1.33,1.79,1.91,15645.00,-57.47,74.23,33.31,1.79,
2019-06-11 00:00:00 UTC,1.33,1.79,1.91,15645.00,-57.47,74.23,33.31,1.79
2019-06-12 00:00:00 UTC,1.26,1.68,1.75,17085.00,-57.57,73.00,34.05,1.68,
2019-06-12 00:00:00 UTC,1.26,1.68,1.75,17085.00,-57.57,73.00,34.05,1.68
2019-06-13 00:00:00 UTC,0.75,1.04,1.09,18525.00,-57.94,74.10,35.29,1.04,
2019-06-13 00:00:00 UTC,0.75,1.04,1.09,18525.00,-57.94,74.10,35.29,1.04
2019-06-14 00:00:00 UTC,0.52,0.77,0.85,19965.00,-58.27,75.31,35.68,0.77,
2019-06-14 00:00:00 UTC,0.52,0.77,0.85,19965.00,-58.27,75.31,35.68,0.77
2019-06-15 00:00:00 UTC,1.49,2.07,2.21,21405.00,-58.14,76.28,34.91,2.07,
2019-06-15 00:00:00 UTC,1.49,2.07,2.21,21405.00,-58.14,76.28,34.91,2.07
2019-06-16 00:00:00 UTC,1.78,2.50,2.66,22845.00,-58.37,77.30,34.70,2.50,
2019-06-16 00:00:00 UTC,1.78,2.50,2.66,22845.00,-58.37,77.30,34.70,2.50
