created_at,PM1.0_CF1_ug/m3,PM2.5_CF1_ug/m3,PM10.0_CF1_ug/m3,UptimeMinutes,RSSI_dbm,Temperature_F,Humidity_%,PM2.5_ATM_ug/m3,
2019-03-11 00:00:00 UTC,6.42,11.18,14.72,462.66,-67.52,76.37,30.92,10.08,
2019-03-12 00:00:00 UTC,1.65,3.60,5.46,1467.35,-67.89,75.25,29.44,3.60,
2019-03-13 00:00:00 UTC,1.49,3.22,4.94,1562.70,-69.97,75.59,28.70,3.22,
2019-03-14 00:00:00 UTC,7.39,11.75,14.03,330.57,-68.10,75.69,30.04,9.17,
2019-03-15 00:00:00 UTC,11.91,19.26,23.01,428.75,-69.03,75.47,32.22,14.02,
2019-03-16 00:00:00 UTC,2.49,4.37,5.66,1743.57,-66.80,74.92,32.64,4.26,
2019-03-17 00:00:00 UTC,4.63,9.15,13.26,3184.22,-68.53,74.23,32.82,8.16,
2019-03-18 00:00:00 UTC,13.44,22.42,27.86,4623.49,-65.15,73.72,33.11,18.19,
2019-03-19 00:00:00 UTC,3.60,6.36,8.41,6063.96,-66.91,73.73,34.44,6.36,
2019-03-20 00:00:00 UTC,1.48,2.86,4.16,7503.95,-65.43,75.52,34.31,2.86,
2019-03-21 00:00:00 UTC,25.97,40.23,47.37,8943.09,-65.92,78.81,32.22,28.52,
2019-03-22 00:00:00 UTC,8.47,17.18,25.40,10383.32,-66.95,78.63,32.91,15.75,
2019-03-23 00:00:00 UTC,6.97,11.40,14.10,908.94,-69.93,78.59,30.74,10.07,
2019-03-24 00:00:00 UTC,4.39,7.63,9.99,2131.25,-70.85,78.61,30.45,7.52,
2019-03-25 00:00:00 UTC,1.37,2.86,4.31,2330.45,-75.55,79.44,29.76,2.86,
2019-03-26 00:00:00 UTC,4.73,8.37,11.25,1002.27,-72.48,77.83,30.34,7.96,
2019-03-27 00:00:00 UTC,4.46,7.45,9.60,837.53,-66.68,79.03,27.71,7.33,
2019-03-28 00:00:00 UTC,6.52,10.51,12.69,616.55,-64.98,78.22,29.27,10.47,
2019-03-29 00:00:00 UTC,9.20,16.73,22.52,991.68,-63.36,78.56,28.11,16.56,
2019-03-30 00:00:00 UTC,19.81,31.75,36.97,951.07,-65.12,79.65,28.66,26.65,
2019-03-31 00:00:00 UTC,4.92,8.56,10.85,368.68,-63.94,80.06,27.34,8.56
2019-04-01 00:00:00 UTC,12.13,22.93,32.55,1192.94,-64.36,79.63,26.49,18.99,
2019-04-01 00:00:00 UTC,12.13,22.93,32.55,1192.94,-64.36,79.63,26.49,18.99
2019-04-02 00:00:00 UTC,4.35,9.20,14.47,651.53,-63.25,78.85,25.95,8.77,
2019-04-02 00:00:00 UTC,4.35,9.20,14.47,651.53,-63.25,78.85,25.95,8.77
2019-04-03 00:00:00 UTC,3.22,6.02,8.68,658.18,-63.96,77.20,25.86,6.02,
2019-04-03 00:00:00 UTC,3.22,6.02,8.68,658.18,-63.96,77.20,25.86,6.02
2019-04-04 00:00:00 UTC,3.26,6.00,8.40,625.45,-64.18,75.97,26.79,5.94,
2019-04-04 00:00:00 UTC,3.26,6.00,8.40,625.45,-64.18,75.97,26.79,5.94
2019-04-05 00:00:00 UTC,2.28,4.36,6.16,463.81,-61.32,74.85,28.81,4.36,
2019-04-05 00:00:00 UTC,2.28,4.36,6.16,463.81,-61.32,74.85,28.81,4.36
2019-04-06 00:00:00 UTC,2.95,5.77,8.60,1562.00,-63.49,73.10,28.11,5.77,
2019-04-06 00:00:00 UTC,2.95,5.77,8.60,1562.00,-63.49,73.10,28.11,5.77
2019-04-07 00:00:00 UTC,6.78,12.76,15.77,1078.49,-62.81,20.69,8.02,12.76,
2019-04-07 00:00:00 UTC,6.78,12.76,15.77,1078.49,-62.81,20.69,8.02,12.76
2019-04-08 00:00:00 UTC,25.17,46.15,60.51,1746.03,-57.60,,,37.52,
2019-04-08 00:00:00 UTC,25.17,46.15,60.51,1746.03,-57.60,,,37.52
2019-04-09 00:00:00 UTC,13.30,24.00,30.35,3186.02,-57.84,,,23.45,
2019-04-09 00:00:00 UTC,13.30,24.00,30.35,3186.02,-57.84,,,23.45
2019-04-10 00:00:00 UTC,5.75,12.12,18.54,4626.05,-58.20,,,11.01,
2019-04-10 00:00:00 UTC,5.75,12.12,18.54,4626.05,-58.20,,,11.01
2019-04-11 00:00:00 UTC,3.41,6.20,8.24,6066.05,-57.24,,,6.20,
2019-04-11 00:00:00 UTC,3.41,6.20,8.24,6066.05,-57.24,,,6.20
2019-04-12 00:00:00 UTC,11.84,26.70,43.42,7506.07,-57.17,,,22.68,
2019-04-12 00:00:00 UTC,11.84,26.70,43.42,7506.07,-57.17,,,22.68
2019-04-13 00:00:00 UTC,3.54,6.42,8.59,1197.58,-57.28,66.21,26.22,6.41,
2019-04-13 00:00:00 UTC,3.54,6.42,8.59,1197.58,-57.28,66.21,26.22,6.41
2019-04-14 00:00:00 UTC,5.32,10.07,13.82,1793.91,-63.56,73.09,27.49,10.05,
2019-04-14 00:00:00 UTC,5.32,10.07,13.82,1793.91,-63.56,73.09,27.49,10.05
2019-04-15 00:00:00 UTC,12.22,21.43,26.29,535.90,-61.82,75.82,28.81,20.84,
2019-04-15 00:00:00 UTC,12.22,21.43,26.29,535.90,-61.82,75.82,28.81,20.84
2019-04-16 00:00:00 UTC,18.65,31.97,37.98,1905.59,-64.58,77.13,29.06,29.40,
2019-04-16 00:00:00 UTC,18.65,31.97,37.98,1905.59,-64.58,77.13,29.06,29.40
2019-04-17 00:00:00 UTC,9.52,16.08,19.65,3346.85,-62.05,77.65,28.62,16.06,
2019-04-17 00:00:00 UTC,9.52,16.08,19.65,3346.85,-62.05,77.65,28.62,16.06
2019-04-18 00:00:00 UTC,11.46,20.61,25.78,3738.15,-62.20,77.83,31.09,20.23,
2019-04-18 00:00:00 UTC,11.46,20.61,25.78,3738.15,-62.20,77.83,31.09,20.23
2019-04-19 00:00:00 UTC,25.53,41.22,48.45,1008.57,-61.19,78.57,34.02,33.06,
2019-04-19 00:00:00 UTC,25.53,41.22,48.45,1008.57,-61.19,78.57,34.02,33.06
2019-04-20 00:00:00 UTC,10.93,17.07,20.22,1519.59,-66.22,79.33,32.47,16.69,
2019-04-20 00:00:00 UTC,10.93,17.07,20.22,1519.59,-66.22,79.33,32.47,16.69
2019-04-21 00:00:00 UTC,7.43,11.49,13.41,930.66,-69.85,80.22,31.81,11.49,
2019-04-21 00:00:00 UTC,7.43,11.49,13.41,930.66,-69.85,80.22,31.81,11.49
2019-04-22 00:00:00 UTC,8.01,12.65,14.91,382.89,-67.99,80.38,30.13,12.65,
2019-04-22 00:00:00 UTC,8.01,12.65,14.91,382.89,-67.99,80.38,30.13,12.65
