created_at,PM1.0_CF1_ug/m3,PM2.5_CF1_ug/m3,PM10.0_CF1_ug/m3,UptimeMinutes,RSSI_dbm,Temperature_F,Humidity_%,PM2.5_ATM_ug/m3
2021-12-31,19.23,29.14,30.32,35174,-62.91,84.56,43.46,27.52
2022-01-01,10.75,15.79,16.92,36614,-63.36,82.09,43.56,15.25
2022-01-02,4.15,5.89,6.22,38054,-61.38,83.46,44.79,5.89
2022-01-03,3.41,5.18,5.72,39494,-61.38,83.96,41.55,4.83
2022-01-04,1.11,1.76,1.98,40936.45,-61.38,84.84,39.21,1.75
2022-01-05,1.3,2.15,2.51,42374.36,-62.35,85.05,44.18,2.04
2022-01-06,0.71,1.67,2.23,43814,-61.21,84.51,35.74,1.67
2022-01-07,0.97,2.05,2.63,31585.65,-60.25,83.34,39.29,2.05
2022-01-08,1.01,2.26,2.98,660.56,-63.4,81.9,37.77,1.96
2022-01-09,1.15,1.83,2.12,1226.74,-58.48,81.53,36.3,1.83
2022-01-10,,,,,,,,
